doc_id,condition,n_source_sents,n_claims,coverage_at_0_5,coverage_at_0_6,coverage_at_0_7,mean_best_similarity
38,E1,48,8,0.16666666666666666,0.10416666666666667,0.020833333333333332,0.3012094497680664
38,E1b,48,9,0.14583333333333334,0.08333333333333333,0.0,0.3311927020549774
38,E2,48,5,0.25,0.14583333333333334,0.10416666666666667,0.4524151384830475
38,E3,48,6,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.30659887194633484
39,E0,68,10,0.3235294117647059,0.17647058823529413,0.07352941176470588,0.43203097581863403
39,E1,68,8,0.23529411764705882,0.1323529411764706,0.029411764705882353,0.4036026895046234
39,E1b,68,10,0.3235294117647059,0.17647058823529413,0.10294117647058823,0.44749218225479126
39,E2,68,5,0.25,0.08823529411764706,0.07352941176470588,0.45974624156951904
39,E3,68,8,0.27941176470588236,0.14705882352941177,0.10294117647058823,0.43712490797042847
40,E0,92,12,0.2717391304347826,0.09782608695652174,0.010869565217391304,0.407893568277359
40,E1,92,8,0.16304347826086957,0.043478260869565216,0.021739130434782608,0.36393579840660095
40,E1b,92,10,0.20652173913043478,0.06521739130434782,0.010869565217391304,0.3946354389190674
40,E2,92,4,0.31521739130434784,0.14130434782608695,0.06521739130434782,0.44445738196372986
40,E3,92,6,0.21739130434782608,0.08695652173913043,0.05434782608695652,0.3989180624485016
41,E0,36,8,0.2222222222222222,0.1388888888888889,0.05555555555555555,0.40918293595314026
41,E1,36,7,0.2777777777777778,0.16666666666666666,0.0,0.3929494619369507
41,E1b,36,11,0.4444444444444444,0.25,0.027777777777777776,0.46872222423553467
41,E2,36,5,0.3611111111111111,0.25,0.16666666666666666,0.4937540590763092
41,E3,36,4,0.3055555555555556,0.19444444444444445,0.05555555555555555,0.398828387260437
42,E0,41,12,0.3902439024390244,0.14634146341463414,0.0975609756097561,0.45263826847076416
42,E1,41,7,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.33450207114219666
42,E1b,41,13,0.3902439024390244,0.1951219512195122,0.12195121951219512,0.46969497203826904
42,E2,41,5,0.24390243902439024,0.17073170731707318,0.14634146341463414,0.4464779794216156
42,E3,41,4,0.17073170731707318,0.04878048780487805,0.024390243902439025,0.3678853511810303
43,E0,47,11,0.2553191489361702,0.1276595744680851,0.06382978723404255,0.3870936930179596
43,E1,47,9,0.1702127659574468,0.10638297872340426,0.0,0.3489235043525696
43,E1b,47,8,0.2127659574468085,0.1276595744680851,0.0851063829787234,0.36488789319992065
43,E2,47,3,0.14893617021276595,0.10638297872340426,0.0851063829787234,0.3855580985546112
43,E3,47,5,0.19148936170212766,0.0851063829787234,0.0425531914893617,0.30300939083099365
44,E0,33,9,0.30303030303030304,0.18181818181818182,0.09090909090909091,0.38963472843170166
44,E1,33,10,0.24242424242424243,0.06060606060606061,0.030303030303030304,0.34236714243888855
44,E1b,33,10,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.3936817944049835
44,E2,33,5,0.30303030303030304,0.21212121212121213,0.18181818181818182,0.4452567994594574
44,E3,33,9,0.36363636363636365,0.15151515151515152,0.06060606060606061,0.3721185326576233
45,E0,55,12,0.2909090909090909,0.2,0.14545454545454545,0.421103298664093
45,E1,55,9,0.16363636363636364,0.12727272727272726,0.07272727272727272,0.3665637671947479
45,E1b,55,12,0.3090909090909091,0.2727272727272727,0.14545454545454545,0.43543925881385803
45,E2,55,5,0.18181818181818182,0.10909090909090909,0.09090909090909091,0.4053168296813965
45,E3,55,7,0.21818181818181817,0.14545454545454545,0.10909090909090909,0.35772472620010376
46,E0,50,10,0.2,0.14,0.1,0.35186389088630676
46,E1,50,11,0.18,0.12,0.08,0.3648757040500641
46,E1b,50,12,0.2,0.06,0.04,0.3600870966911316
46,E2,50,5,0.2,0.1,0.1,0.41539737582206726
46,E3,50,6,0.16,0.12,0.08,0.34077179431915283
47,E0,21,10,0.47619047619047616,0.3333333333333333,0.09523809523809523,0.46855682134628296
47,E1,21,11,0.42857142857142855,0.3333333333333333,0.19047619047619047,0.46961790323257446
47,E1b,21,9,0.5238095238095238,0.38095238095238093,0.14285714285714285,0.48697298765182495
47,E2,21,5,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.4890266954898834
47,E3,21,9,0.6190476190476191,0.5238095238095238,0.42857142857142855,0.5944648385047913
48,E0,28,11,0.42857142857142855,0.14285714285714285,0.03571428571428571,0.43329477310180664
48,E1,28,8,0.39285714285714285,0.21428571428571427,0.07142857142857142,0.4087354242801666
48,E1b,28,10,0.39285714285714285,0.32142857142857145,0.07142857142857142,0.458869069814682
48,E2,28,5,0.39285714285714285,0.25,0.17857142857142858,0.4687214493751526
48,E3,28,8,0.39285714285714285,0.17857142857142858,0.10714285714285714,0.4435558021068573
49,E0,48,11,0.16666666666666666,0.10416666666666667,0.020833333333333332,0.35651835799217224
49,E1,48,7,0.10416666666666667,0.08333333333333333,0.041666666666666664,0.32310235500335693
49,E1b,48,9,0.20833333333333334,0.08333333333333333,0.020833333333333332,0.3469211161136627
49,E2,48,4,0.22916666666666666,0.14583333333333334,0.08333333333333333,0.4364970624446869
49,E3,48,6,0.1875,0.08333333333333333,0.041666666666666664,0.36912813782691956
